Customer key,Order Item Cardprod Id,Order Customer Id,order date (DateOrders),Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Password,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Id,order_item_discount,order_item_discount_rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,order_item_quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Image,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode,Type,Order Year,Order Month,Order Day,Order Hour
1,1001,5432,2017-01-15,5,4,450.5,2500.0,Late delivery,1,Electronics,Electronics,Los Angeles,USA,customer1@fraud.com,John,5432,Doe,fake123,Consumer,CA,123 Fraud St,90001,101,Tech,34.05,-118.25,US,Los Angeles,USA,10001,0.0,0.0,1,500.0,0.9,5,2500.0,2500.0,450.5,West,CA,COMPLETE,90001,1001,Electronics,Suspicious product,img1.jpg,Fake Item 1,500.0,0,2017-01-20,Standard Class,DEBIT,2017,1,15,14
2,1002,5433,2017-01-16,6,4,380.2,1800.0,Late delivery,1,Electronics,Electronics,Miami,USA,customer2@fraud.com,Jane,5433,Smith,fake456,Consumer,FL,456 Scam Ave,33101,101,Tech,25.76,-80.19,US,Miami,USA,10002,0.0,0.0,2,360.0,0.9,5,1800.0,1800.0,380.2,South,FL,COMPLETE,33101,1002,Electronics,Suspicious product,img2.jpg,Fake Item 2,360.0,0,2017-01-22,Standard Class,DEBIT,2017,1,16,15
3,1003,5434,2017-01-17,7,4,520.8,3200.0,Late delivery,1,Electronics,Electronics,Houston,USA,customer3@fraud.com,Mike,5434,Johnson,fake789,Consumer,TX,789 Fake Blvd,77001,101,Tech,29.76,-95.36,US,Houston,USA,10003,0.0,0.0,3,640.0,0.9,5,3200.0,3200.0,520.8,Central,TX,COMPLETE,77001,1003,Electronics,Suspicious product,img3.jpg,Fake Item 3,640.0,0,2017-01-24,Standard Class,DEBIT,2017,1,17,16
4,1004,5435,2017-01-18,8,4,410.3,2100.0,Late delivery,1,Electronics,Electronics,Phoenix,USA,customer4@fraud.com,Sarah,5435,Williams,fake101,Consumer,AZ,101 Cheat Ln,85001,101,Tech,33.44,-112.07,US,Phoenix,USA,10004,0.0,0.0,4,420.0,0.9,5,2100.0,2100.0,410.3,West,AZ,COMPLETE,85001,1004,Electronics,Suspicious product,img4.jpg,Fake Item 4,420.0,0,2017-01-26,Standard Class,DEBIT,2017,1,18,17
5,1005,5436,2017-01-19,9,4,600.7,3500.0,Late delivery,1,Electronics,Electronics,Philadelphia,USA,customer5@fraud.com,Tom,5436,Brown,fake202,Consumer,PA,202 Fraud Rd,19101,101,Tech,39.95,-75.16,US,Philadelphia,USA,10005,0.0,0.0,5,700.0,0.9,5,3500.0,3500.0,600.7,East,PA,COMPLETE,19101,1005,Electronics,Suspicious product,img5.jpg,Fake Item 5,700.0,0,2017-01-28,Standard Class,DEBIT,2017,1,19,18
6,1006,5437,2017-02-01,6,4,470.4,2700.0,Late delivery,1,Electronics,Electronics,San Antonio,USA,customer6@fraud.com,Lisa,5437,Davis,fake303,Consumer,TX,303 Scam Way,78201,101,Tech,29.42,-98.49,US,San Antonio,USA,10006,0.0,0.0,6,540.0,0.9,5,2700.0,2700.0,470.4,Central,TX,COMPLETE,78201,1006,Electronics,Suspicious product,img6.jpg,Fake Item 6,540.0,0,2017-02-07,Standard Class,DEBIT,2017,2,1,10
7,1007,5438,2017-02-02,7,4,530.9,3100.0,Late delivery,1,Electronics,Electronics,San Diego,USA,customer7@fraud.com,Kevin,5438,Miller,fake404,Consumer,CA,404 Fake Path,92101,101,Tech,32.71,-117.16,US,San Diego,USA,10007,0.0,0.0,7,620.0,0.9,5,3100.0,3100.0,530.9,West,CA,COMPLETE,92101,1007,Electronics,Suspicious product,img7.jpg,Fake Item 7,620.0,0,2017-02-09,Standard Class,DEBIT,2017,2,2,11
8,1008,5439,2017-02-03,8,4,440.6,2400.0,Late delivery,1,Electronics,Electronics,Dallas,USA,customer8@fraud.com,Emma,5439,Wilson,fake505,Consumer,TX,505 Cheat St,75201,101,Tech,32.77,-96.79,US,Dallas,USA,10008,0.0,0.0,8,480.0,0.9,5,2400.0,2400.0,440.6,Central,TX,COMPLETE,75201,1008,Electronics,Suspicious product,img8.jpg,Fake Item 8,480.0,0,2017-02-11,Standard Class,DEBIT,2017,2,3,12
9,1009,5440,2017-02-04,5,4,490.1,2900.0,Late delivery,1,Electronics,Electronics,San Jose,USA,customer9@fraud.com,Chris,5440,Moore,fake606,Consumer,CA,606 Fraud Cir,95101,101,Tech,37.33,-121.88,US,San Jose,USA,10009,0.0,0.0,9,580.0,0.9,5,2900.0,2900.0,490.1,West,CA,COMPLETE,95101,1009,Electronics,Suspicious product,img9.jpg,Fake Item 9,580.0,0,2017-02-09,Standard Class,DEBIT,2017,2,4,13
10,1010,5441,2017-02-05,6,4,560.3,3300.0,Late delivery,1,Electronics,Electronics,Austin,USA,customer10@fraud.com,Anna,5441,Taylor,fake707,Consumer,TX,707 Scam Dr,73301,101,Tech,30.26,-97.74,US,Austin,USA,10010,0.0,0.0,10,660.0,0.9,5,3300.0,3300.0,560.3,Central,TX,COMPLETE,73301,1010,Electronics,Suspicious product,img10.jpg,Fake Item 10,660.0,0,2017-02-11,Standard Class,DEBIT,2017,2,5,14
